,Day,Time,delay
1,Tuesday,1223,7
2,Tuesday,1329,10
3,Tuesday,1423,5
4,Tuesday,1518,2
5,Tuesday,1615,0
6,Tuesday,1718,0
7,Tuesday,1820,1
8,Tuesday,1930,13
9,Tuesday,2025,5
10,Tuesday,2133,14
11,Tuesday,2227,0
12,Tuesday,657,3
13,Tuesday,724,0
14,Tuesday,754,0
15,Tuesday,823,0
16,Tuesday,842,0
17,Tuesday,903,0
18,Tuesday,933,9
19,Tuesday,1003,46
20,Tuesday,1023,7
21,Tuesday,1112,66
22,Tuesday,1122,9
23,Tuesday,1155,0
24,Tuesday,1305,50
25,Tuesday,1400,45
26,Tuesday,1454,0
27,Tuesday,1553,0
28,Tuesday,1657,0
29,Tuesday,1807,49
30,Tuesday,1911,56
31,Tuesday,1957,2
32,Tuesday,2055,0
33,Tuesday,2201,0
34,Tuesday,2256,0
35,Tuesday,5,0
