,Day,Time,delay
1,Wednesday,1114,0
2,Wednesday,1237,18
3,Wednesday,1321,2
4,Wednesday,1427,8
5,Wednesday,1533,14
6,Wednesday,1613,0
7,Wednesday,1728,9
8,Wednesday,1832,14
9,Wednesday,1922,6
10,Wednesday,2031,11
11,Wednesday,2121,2
12,Wednesday,2225,0
13,Wednesday,658,4
14,Wednesday,728,1
15,Wednesday,755,0
16,Wednesday,839,22
17,Wednesday,847,5
18,Wednesday,908,4
19,Wednesday,933,9
20,Wednesday,1015,57
21,Wednesday,1024,5
22,Wednesday,1059,6
23,Wednesday,1158,3
24,Wednesday,1255,0
25,Wednesday,1359,4
26,Wednesday,1459,4
27,Wednesday,1602,47
28,Wednesday,1657,0
29,Wednesday,1808,50
30,Wednesday,1905,50
31,Wednesday,2009,54
32,Wednesday,2059,4
33,Wednesday,2206,5
34,Wednesday,2255,0
35,Wednesday,6,0
