,Day,Time,delay
1,Thursday,1120,1
2,Thursday,1222,3
3,Thursday,1314,0
4,Thursday,1416,0
5,Thursday,1536,17
6,Thursday,1621,4
7,Thursday,1719,0
8,Thursday,1819,0
9,Thursday,1917,0
10,Thursday,2040,20
11,Thursday,2135,16
12,Thursday,2226,0
13,Thursday,659,5
14,Thursday,726,0
15,Thursday,753,0
16,Thursday,822,0
17,Thursday,841,0
18,Thursday,907,3
19,Thursday,923,0
20,Thursday,956,0
21,Thursday,1021,2
22,Thursday,1102,47
23,Thursday,1201,46
24,Thursday,1257,2
25,Thursday,1403,48
26,Thursday,1453,0
27,Thursday,1605,50
28,Thursday,1659,2
29,Thursday,1801,43
30,Thursday,1903,48
31,Thursday,2000,45
32,Thursday,2108,53
33,Thursday,2201,0
34,Thursday,2311,10
35,Thursday,32,24
